         x             f(x)
----------------------------
   -1.0000       0.30116868
   -0.9000       0.08338425
   -0.8000      -0.12282184
   -0.7000      -0.31388981
   -0.6000      -0.48655013
   -0.5000      -0.63786979
   -0.4000      -0.76529366
   -0.3000      -0.86668043
   -0.2000      -0.94033271
   -0.1000      -0.98502082
   -0.0000      -1.00000000
    0.1000      -0.98502082
    0.2000      -0.94033271
    0.3000      -0.86668043
    0.4000      -0.76529366
    0.5000      -0.63786979
    0.6000      -0.48655013
    0.7000      -0.31388981
    0.8000      -0.12282184
    0.9000       0.08338425
    1.0000       0.30116868
    1.1000       0.52673197
    1.2000       0.75608915
    1.3000       0.98512681
    1.4000       1.20966248
    1.5000       1.42550528
    1.6000       1.62851729
    1.7000       1.81467467
    1.8000       1.98012783
    1.9000       2.12125973
    2.0000       2.23474169
    2.1000       2.31758577
    2.2000       2.36719321
    2.3000       2.38139801
    2.4000       2.35850535
    2.5000       2.29732398
    2.6000       2.19719232
    2.7000       2.05799782
    2.8000       1.88018916
    2.9000       1.66478122
    3.0000       1.41335252
    3.1000       1.12803520
    3.2000       0.81149752
    3.3000       0.46691898
    3.4000       0.09795845
    3.5000      -0.29128461
    3.6000      -0.69631518
    3.7000      -1.11229369
    3.8000      -1.53409227
    3.9000      -1.95635572
    4.0000      -2.37356636
    4.1000      -2.78011221
    4.2000      -3.17035742
    4.3000      -3.53871436
    4.4000      -3.87971626
    4.5000      -4.18808973
    4.6000      -4.45882609
    4.7000      -4.68725065
    4.8000      -4.86908911
    4.9000      -5.00053017
    5.0000      -5.07828356
    5.1000      -5.09963262
    5.2000      -5.06248088
    5.3000      -4.96539178
    5.4000      -4.80762111
    5.5000      -4.58914156
    5.6000      -4.31065905
    5.7000      -3.97362038
    5.8000      -3.58021216
    5.9000      -3.13335075
    6.0000      -2.63666328
    6.1000      -2.09445971
    6.2000      -1.51169639
    6.3000      -0.89393106
    6.4000      -0.24727001
    6.5000       0.42169230
    6.6000       1.10594041
    6.7000       1.79811132
    6.8000       2.49057330
    6.9000       3.17550927
    7.0000       3.84500394
    7.1000       4.49113352
    7.2000       5.10605731
    7.3000       5.68210981
    7.4000       6.21189258
    7.5000       6.68836451
    7.6000       7.10492966
    7.7000       7.45552154
    7.8000       7.73468267
    7.9000       7.93763873
    8.0000       8.06036601
    8.1000       8.09965162
    8.2000       8.05314543
    8.3000       7.91940307
    8.4000       7.69791948
    8.5000       7.38915236
    8.6000       6.99453509
    8.7000       6.51647895
    8.8000       5.95836431
    8.9000       5.32452083
    9.0000       4.62019663
    9.1000       3.85151670
    9.2000       3.02543083
    9.3000       2.14965146
    9.4000       1.23258204
    9.5000       0.28323651
    9.6000      -0.68884924
    9.7000      -1.67371320
    9.8000      -2.66106919
    9.9000      -3.64041420
   10.0000      -4.60113958
