Траєкторія спуску (перший розв'язок)
 Крок             x             y          F(x,y)
--------------------------------------------------
    0      1.500000      0.500000    2.312500e+00
    1      2.000000      0.500000    6.250000e-02
    2      1.875000      0.625000    3.833008e-02
    3      1.875000      0.562500    3.120422e-02
    4      1.937500      0.500000    9.918213e-04
    5      1.937500      0.515625    3.920197e-04
    6      1.929688      0.523438    1.068003e-04
    7      1.929688      0.519531    4.729186e-05
    8      1.933594      0.515625    3.060349e-05
    9      1.931641      0.517578    8.204515e-07
   10      1.931641      0.518066    6.538485e-07
   11      1.931641      0.517822    4.508960e-07
   12      1.931885      0.517578    1.408069e-08
   13      1.931885      0.517609    1.107736e-08
   14      1.931854      0.517639    1.356381e-10
   15      1.931850      0.517639    1.504361e-11
   16      1.931851      0.517638    8.277893e-13
   17      1.931852      0.517638    4.458664e-14
   18      1.931852      0.517638    1.202661e-14
   19      1.931852      0.517638    1.123993e-14
   20      1.931852      0.517638    7.366593e-15
   21      1.931852      0.517638    7.117357e-17
